"district_id","state_id","n_non","n_dalit","emp_rate_non","emp_rate_dalit","within_gap"
7,"(07) Delhi 07",173,132,40.4624277456647,27.2727272727273,-13.1897004729375
7,"(08) Rajasthan 08",659,166,51.1380880121396,45.7831325301205,-5.35495548201912
7,"(09) Uttar Pradesh 09",154,79,27.9220779220779,27.8481012658228,-0.0739766562551374
7,"(19) West Bengal 19",476,308,39.0756302521008,42.8571428571429,3.78151260504201
7,"(21) Orissa 21",408,42,50.9803921568627,45.2380952380952,-5.7422969187675
7,"(22) Chhattisgarh 22",247,54,55.0607287449393,53.7037037037037,-1.35702504123556
7,"(24) Gujarat 24",1251,221,38.8489208633094,36.1990950226244,-2.64982584068492
7,"(27) Maharashtra 27",851,224,44.3008225616921,54.0178571428571,9.71703458116501
7,"(28) Andhra Pradesh 28",128,29,38.28125,34.4827586206897,-3.79849137931034
7,"(29) Karnataka 29",551,94,45.1905626134301,56.3829787234042,11.1924161099741
7,"(32) Kerala 32",656,123,37.8048780487805,45.5284552845528,7.72357723577235
8,"(02) Himachal Pradesh 02",521,234,74.2802303262956,78.6324786324786,4.35224830618306
8,"(05) Uttarakhand 05",45,90,62.2222222222222,57.7777777777778,-4.44444444444445
8,"(06) Haryana 06",856,437,39.4859813084112,36.3844393592677,-3.10154194914349
8,"(08) Rajasthan 08",590,186,47.4576271186441,43.010752688172,-4.44687443047203
8,"(19) West Bengal 19",411,401,44.5255474452555,50.1246882793017,5.59914083404627
8,"(21) Orissa 21",893,286,37.0660694288914,45.4545454545455,8.38847602565407
8,"(22) Chhattisgarh 22",229,21,60.2620087336244,52.3809523809524,-7.88105635267206
8,"(23) Madhya Pradesh 23",511,288,54.7945205479452,52.0833333333333,-2.71118721461187
8,"(24) Gujarat 24",721,80,46.7406380027739,45,-1.74063800277393
8,"(27) Maharashtra 27",133,102,30.0751879699248,39.2156862745098,9.14049830458499
8,"(29) Karnataka 29",337,29,47.4777448071217,41.3793103448276,-6.09843446229408
8,"(32) Kerala 32",600,96,39.5,38.5416666666667,-0.958333333333329
9,"(03) Punjab 03",616,305,37.6623376623377,41.6393442622951,3.97700659995742
9,"(05) Uttarakhand 05",193,224,58.5492227979275,58.9285714285714,0.379348630643975
9,"(06) Haryana 06",543,129,42.1731123388582,38.7596899224806,-3.41342241637757
9,"(07) Delhi 07",171,93,27.4853801169591,29.0322580645161,1.54687794755707
9,"(08) Rajasthan 08",98,63,38.7755102040816,44.4444444444444,5.66893424036281
9,"(09) Uttar Pradesh 09",394,80,29.1878172588832,33.75,4.56218274111675
9,"(18) Assam 18",658,116,37.6899696048632,43.1034482758621,5.41347867099884
9,"(19) West Bengal 19",1070,777,34.2990654205608,43.8867438867439,9.58767846618314
9,"(21) Orissa 21",493,134,31.6430020283976,35.0746268656716,3.43162483727408
9,"(22) Chhattisgarh 22",667,133,59.6701649175412,65.4135338345865,5.74336891704525
9,"(23) Madhya Pradesh 23",363,263,69.1460055096419,64.2585551330799,-4.88745037656201
9,"(24) Gujarat 24",99,90,36.3636363636364,36.6666666666667,0.303030303030297
9,"(27) Maharashtra 27",170,53,41.1764705882353,43.3962264150943,2.21975582685905
9,"(29) Karnataka 29",261,104,49.0421455938697,45.1923076923077,-3.84983790156203
9,"(32) Kerala 32",228,23,54.3859649122807,60.8695652173913,6.48360030511061
9,"(33) Tamil Nadu 33",61,141,49.1803278688525,53.9007092198582,4.7203813510057
10,"(02) Himachal Pradesh 02",364,262,61.2637362637363,62.5954198473283,1.33168358359198
10,"(03) Punjab 03",182,52,37.9120879120879,36.5384615384615,-1.37362637362638
10,"(06) Haryana 06",184,115,50.5434782608696,46.0869565217391,-4.45652173913044
10,"(07) Delhi 07",1764,789,31.1791383219955,32.0659062103929,0.88676788839744
10,"(08) Rajasthan 08",292,85,46.5753424657534,37.6470588235294,-8.92828364222401
10,"(09) Uttar Pradesh 09",357,25,28.0112044817927,24,-4.01120448179272
10,"(19) West Bengal 19",493,352,42.1906693711968,40.9090909090909,-1.28157846210584
10,"(22) Chhattisgarh 22",1092,243,54.5787545787546,47.3251028806584,-7.25365169809614
10,"(23) Madhya Pradesh 23",332,123,56.0240963855422,53.6585365853659,-2.36555980017631
10,"(24) Gujarat 24",553,77,44.6654611211573,45.4545454545455,0.789084333388132
10,"(27) Maharashtra 27",195,39,54.3589743589744,51.2820512820513,-3.07692307692308
10,"(28) Andhra Pradesh 28",305,91,49.8360655737705,54.9450549450549,5.10898937128445
10,"(32) Kerala 32",593,58,35.9190556492412,39.6551724137931,3.73611676455195
10,"(33) Tamil Nadu 33",282,282,52.1276595744681,61.7021276595745,9.57446808510637
11,"(02) Himachal Pradesh 02",563,234,65.0088809946714,61.5384615384615,-3.47041945620986
11,"(03) Punjab 03",989,1030,42.7704752275025,47.8640776699029,5.09360244240038
11,"(05) Uttarakhand 05",307,186,49.185667752443,60.2150537634409,11.0293860109979
11,"(07) Delhi 07",118,130,29.6610169491525,31.5384615384615,1.877444589309
11,"(08) Rajasthan 08",94,31,46.8085106382979,41.9354838709677,-4.87302676733013
11,"(19) West Bengal 19",884,348,40.9502262443439,40.8045977011494,-0.145628543194462
11,"(29) Karnataka 29",375,42,55.4666666666667,71.4285714285714,15.9619047619048
11,"(32) Kerala 32",841,59,36.2663495838288,42.3728813559322,6.10653177210342
12,"(01) Jammu & Kashmir 01",405,36,67.4074074074074,75,7.5925925925926
12,"(06) Haryana 06",493,181,46.2474645030426,39.2265193370166,-7.02094516602602
12,"(07) Delhi 07",165,41,33.3333333333333,26.8292682926829,-6.5040650406504
12,"(08) Rajasthan 08",557,96,31.7773788150808,28.125,-3.65237881508079
12,"(10) Bihar 10",250,76,37.6,32.8947368421053,-4.70526315789473
12,"(19) West Bengal 19",460,68,43.0434782608696,47.0588235294118,4.01534526854219
12,"(20) Jharkhand 20",1128,169,38.386524822695,27.810650887574,-10.5758739351211
12,"(21) Orissa 21",233,81,34.3347639484979,35.8024691358025,1.46770518730462
12,"(23) Madhya Pradesh 23",810,163,51.8518518518518,52.1472392638037,0.295387411951829
12,"(24) Gujarat 24",890,130,48.7640449438202,47.6923076923077,-1.07173725151253
12,"(29) Karnataka 29",1048,208,46.3740458015267,52.8846153846154,6.51056958308867
12,"(32) Kerala 32",438,40,41.7808219178082,55,13.2191780821918
12,"(33) Tamil Nadu 33",666,277,43.993993993994,48.7364620938628,4.74246809986882
13,"(01) Jammu & Kashmir 01",928,285,41.8103448275862,48.4210526315789,6.61070780399274
13,"(05) Uttarakhand 05",490,224,33.0612244897959,40.625,7.56377551020408
13,"(06) Haryana 06",332,157,49.0963855421687,30.5732484076433,-18.5231371345254
13,"(08) Rajasthan 08",680,207,49.1176470588235,43.9613526570048,-5.1562944018187
13,"(20) Jharkhand 20",531,147,27.8719397363465,37.4149659863946,9.54302625004804
13,"(22) Chhattisgarh 22",242,54,57.8512396694215,66.6666666666667,8.81542699724518
13,"(23) Madhya Pradesh 23",597,60,60.3015075376884,50,-10.3015075376884
