"district_id","state_id","n_nonmuslim","n_muslim","employment_rate_nonmuslim","employment_rate_muslim","within_gap"
4,"(32) Kerala 32",256,147,30.46875,22.4489795918367,-8.01977040816326
4,"(33) Tamil Nadu 33",242,44,35.9504132231405,40.9090909090909,4.95867768595041
5,"(08) Rajasthan 08",822,34,49.0267639902676,50,0.973236009732361
5,"(09) Uttar Pradesh 09",342,104,44.4444444444444,36.5384615384615,-7.90598290598291
5,"(10) Bihar 10",712,111,41.9943820224719,31.5315315315315,-10.4628504909404
5,"(23) Madhya Pradesh 23",1039,20,57.6515880654475,35,-22.6515880654475
5,"(27) Maharashtra 27",412,38,56.3106796116505,31.5789473684211,-24.7317322432294
5,"(28) Andhra Pradesh 28",488,102,36.8852459016393,26.4705882352941,-10.4146576663452
5,"(29) Karnataka 29",915,268,59.2349726775956,40.6716417910448,-18.5633308865509
5,"(32) Kerala 32",287,808,36.5853658536585,21.7821782178218,-14.8031876358368
6,"(08) Rajasthan 08",829,242,46.4414957780458,44.6280991735537,-1.81339660449212
6,"(09) Uttar Pradesh 09",159,55,56.6037735849057,38.1818181818182,-18.4219554030875
6,"(10) Bihar 10",173,30,33.5260115606936,30,-3.52601156069364
6,"(18) Assam 18",716,543,39.9441340782123,41.6206261510129,1.67649207280061
6,"(19) West Bengal 19",451,571,46.3414634146341,45.5341506129597,-0.807312801674428
6,"(28) Andhra Pradesh 28",343,48,30.9037900874636,20.8333333333333,-10.0704567541302
6,"(29) Karnataka 29",274,56,50,39.2857142857143,-10.7142857142857
6,"(32) Kerala 32",253,141,32.8063241106719,26.9503546099291,-5.85596950074286
7,"(03) Punjab 03",676,23,46.0059171597633,26.0869565217391,-19.9189606380242
7,"(08) Rajasthan 08",766,59,50.5221932114883,44.0677966101695,-6.45439660131876
7,"(09) Uttar Pradesh 09",141,92,29.7872340425532,25,-4.78723404255319
7,"(19) West Bengal 19",373,411,44.7721179624665,36.7396593673966,-8.0324585950699
7,"(24) Gujarat 24",1347,125,39.1982182628062,30.4,-8.79821826280624
7,"(27) Maharashtra 27",903,172,48.8372093023256,33.1395348837209,-15.6976744186046
7,"(28) Andhra Pradesh 28",132,25,41.6666666666667,16,-25.6666666666667
7,"(29) Karnataka 29",492,153,48.5772357723577,41.1764705882353,-7.40076518412243
7,"(32) Kerala 32",597,182,42.5460636515913,27.4725274725275,-15.0735361790638
8,"(06) Haryana 06",1241,52,38.7590652699436,30.7692307692308,-7.98983450071282
8,"(19) West Bengal 19",513,299,48.5380116959064,45.1505016722408,-3.38751002366563
8,"(21) Orissa 21",1085,94,39.4470046082949,35.1063829787234,-4.34062162957153
8,"(24) Gujarat 24",730,71,47.1232876712329,40.8450704225352,-6.27821724869766
8,"(29) Karnataka 29",276,90,44.9275362318841,53.3333333333333,8.40579710144928
8,"(32) Kerala 32",617,79,40.5186385737439,30.379746835443,-10.1388917383009
9,"(06) Haryana 06",644,28,42.5465838509317,17.8571428571429,-24.6894409937888
9,"(09) Uttar Pradesh 09",349,125,30.0859598853868,29.6,-0.485959885386823
9,"(18) Assam 18",555,219,41.6216216216216,30.5936073059361,-11.0280143156855
9,"(19) West Bengal 19",1570,277,38.0891719745223,39.7111913357401,1.62201936121777
9,"(22) Chhattisgarh 22",774,26,60.594315245478,61.5384615384615,0.944146292983504
9,"(27) Maharashtra 27",164,59,41.4634146341463,42.3728813559322,0.909466721785861
9,"(29) Karnataka 29",324,41,49.6913580246914,34.1463414634146,-15.5450165612767
10,"(02) Himachal Pradesh 02",606,20,62.7062706270627,35,-27.7062706270627
10,"(07) Delhi 07",2040,513,33.7254901960784,22.4171539961014,-11.3083361999771
10,"(09) Uttar Pradesh 09",250,132,28.4,26.5151515151515,-1.88484848484848
10,"(19) West Bengal 19",704,141,41.6193181818182,41.8439716312057,0.224653449387496
10,"(22) Chhattisgarh 22",1308,27,53.6697247706422,33.3333333333333,-20.3363914373089
10,"(24) Gujarat 24",590,40,45.0847457627119,40,-5.08474576271186
10,"(28) Andhra Pradesh 28",369,27,49.5934959349593,70.3703703703704,20.776874435411
10,"(32) Kerala 32",631,20,36.4500792393027,30,-6.4500792393027
11,"(05) Uttarakhand 05",457,36,54.0481400437637,44.4444444444444,-9.60369559931924
11,"(19) West Bengal 19",1015,217,39.6059113300493,47.0046082949309,7.39869696488162
11,"(29) Karnataka 29",329,88,58.3586626139818,52.2727272727273,-6.08593534125448
11,"(32) Kerala 32",748,152,39.1711229946524,24.3421052631579,-14.8290177314945
12,"(01) Jammu & Kashmir 01",344,97,72.3837209302326,52.5773195876289,-19.8064013426037
12,"(05) Uttarakhand 05",170,89,50,41.5730337078652,-8.42696629213483
12,"(08) Rajasthan 08",419,234,33.6515513126492,26.9230769230769,-6.72847438957224
12,"(19) West Bengal 19",340,188,45.8823529411765,39.3617021276596,-6.52065081351689
12,"(20) Jharkhand 20",884,413,35.4072398190045,40.4358353510896,5.02859553208506
