"district_id","state_id","n_non","n_adivasi","emp_rate_non","emp_rate_adivasi","within_gap"
19,"(24) Gujarat 24",881,288,46.5380249716232,52.7777777777778,6.23975280615463
19,"(29) Karnataka 29",1416,135,55.0847457627119,59.2592592592593,4.17451349654739
20,"(08) Rajasthan 08",886,84,45.0338600451467,58.3333333333333,13.2994732881866
20,"(23) Madhya Pradesh 23",641,60,58.0343213728549,66.6666666666667,8.63234529381175
20,"(27) Maharashtra 27",412,260,57.0388349514563,55.7692307692308,-1.26960418222554
20,"(29) Karnataka 29",1490,44,36.5771812080537,43.1818181818182,6.60463697376449
21,"(21) Orissa 21",145,158,53.7931034482759,55.6962025316456,1.90309908336971
21,"(23) Madhya Pradesh 23",746,22,54.2895442359249,40.9090909090909,-13.380453326834
21,"(24) Gujarat 24",432,134,46.2962962962963,57.4626865671642,11.1663902708679
21,"(27) Maharashtra 27",862,21,27.7262180974478,23.8095238095238,-3.91669428792399
21,"(29) Karnataka 29",579,60,50.259067357513,50,-0.259067357512954
22,"(24) Gujarat 24",499,54,31.8637274549098,38.8888888888889,7.02516143397908
22,"(28) Andhra Pradesh 28",490,48,56.9387755102041,64.5833333333333,7.64455782312925
23,"(23) Madhya Pradesh 23",964,134,61.5145228215768,66.4179104477612,4.90338762618443
24,"(08) Rajasthan 08",1041,103,54.0826128722382,57.2815533980583,3.19894052582001
24,"(21) Orissa 21",488,35,51.0245901639344,51.4285714285714,0.403981264636997
25,"(08) Rajasthan 08",258,31,55.0387596899225,64.5161290322581,9.47736934233559
25,"(23) Madhya Pradesh 23",489,405,53.1697341513292,60.4938271604938,7.32409300916459
25,"(27) Maharashtra 27",1167,101,39.2459297343616,40.5940594059406,1.34812967157899
25,"(29) Karnataka 29",765,110,50.4575163398693,62.7272727272727,12.2697563874035
26,"(08) Rajasthan 08",282,405,49.645390070922,54.8148148148148,5.16942474389283
26,"(27) Maharashtra 27",603,93,54.8922056384743,66.6666666666667,11.7744610281924
26,"(29) Karnataka 29",1017,142,48.377581120944,52.8169014084507,4.43932028750675
27,"(23) Madhya Pradesh 23",328,302,41.4634146341463,66.887417218543,25.4240025843967
27,"(29) Karnataka 29",494,121,52.834008097166,61.1570247933884,8.32301669622242
28,"(21) Orissa 21",103,20,39.8058252427184,40,0.194174757281552
28,"(23) Madhya Pradesh 23",94,70,55.3191489361702,62.8571428571429,7.53799392097264
29,"(21) Orissa 21",187,181,54.0106951871658,54.6961325966851,0.685437409519309
