"district_id","state_id","n_sample","sc_share","st_share","employment_rate"
9,"(23) Madhya Pradesh 23",626,42.0127795527157,0,67.0926517571885
9,"(24) Gujarat 24",189,47.6190476190476,0,36.5079365079365
9,"(27) Maharashtra 27",223,23.7668161434978,0,41.7040358744395
9,"(29) Karnataka 29",365,28.4931506849315,0.547945205479452,47.945205479452
9,"(32) Kerala 32",251,9.16334661354582,3.98406374501992,54.9800796812749
9,"(33) Tamil Nadu 33",202,69.8019801980198,0,52.4752475247525
10,"(02) Himachal Pradesh 02",626,41.85303514377,0,61.8210862619808
10,"(03) Punjab 03",234,22.2222222222222,0,37.6068376068376
10,"(06) Haryana 06",299,38.4615384615385,0,48.8294314381271
10,"(07) Delhi 07",2553,30.9048178613396,1.95848021934978,31.4531923227575
10,"(08) Rajasthan 08",377,22.5464190981432,16.710875331565,44.5623342175066
10,"(09) Uttar Pradesh 09",382,6.54450261780105,0,27.7486910994764
10,"(19) West Bengal 19",845,41.6568047337278,4.14201183431953,41.6568047337278
10,"(22) Chhattisgarh 22",1335,18.2022471910112,6.06741573033708,53.2584269662921
10,"(23) Madhya Pradesh 23",455,27.032967032967,9.45054945054945,55.3846153846154
10,"(24) Gujarat 24",630,12.2222222222222,0,44.7619047619048
10,"(27) Maharashtra 27",234,16.6666666666667,4.7008547008547,53.8461538461538
10,"(28) Andhra Pradesh 28",396,22.979797979798,18.6868686868687,51.010101010101
10,"(29) Karnataka 29",475,3.78947368421053,17.2631578947368,47.7894736842105
10,"(32) Kerala 32",651,8.90937019969278,0,36.2519201228879
10,"(33) Tamil Nadu 33",564,50,0,56.9148936170213
11,"(02) Himachal Pradesh 02",797,29.3601003764115,0.627352572145546,63.9899623588457
11,"(03) Punjab 03",2021,51.0153541357107,0,45.3735774369124
11,"(05) Uttarakhand 05",493,37.7281947261663,0,53.3468559837728
11,"(07) Delhi 07",248,52.4193548387097,2.41935483870968,30.6451612903226
11,"(08) Rajasthan 08",125,24.8,4,45.6
11,"(19) West Bengal 19",1232,28.2467532467532,0,40.9090909090909
11,"(22) Chhattisgarh 22",557,2.51346499102334,12.5673249551167,43.6265709156194
11,"(27) Maharashtra 27",173,4.04624277456647,12.1387283236994,57.2254335260116
11,"(29) Karnataka 29",417,10.0719424460432,10.3117505995204,57.0743405275779
11,"(32) Kerala 32",900,6.55555555555556,0,36.6666666666667
12,"(01) Jammu & Kashmir 01",441,8.16326530612245,10.6575963718821,68.0272108843537
12,"(05) Uttarakhand 05",259,6.56370656370656,12.3552123552124,47.1042471042471
12,"(06) Haryana 06",674,26.8545994065282,1.3353115727003,44.3620178041543
12,"(07) Delhi 07",206,19.9029126213592,0,32.0388349514563
12,"(08) Rajasthan 08",653,14.7013782542113,3.36906584992343,31.2404287901991
12,"(10) Bihar 10",326,23.3128834355828,0,36.5030674846626
12,"(19) West Bengal 19",528,12.8787878787879,0.568181818181818,43.5606060606061
12,"(20) Jharkhand 20",1297,13.0300693909021,7.55589822667695,37.0084811102544
12,"(21) Orissa 21",314,25.796178343949,3.82165605095541,34.7133757961783
12,"(22) Chhattisgarh 22",91,5.49450549450549,29.6703296703297,67.032967032967
12,"(23) Madhya Pradesh 23",973,16.7523124357657,19.6300102774923,51.9013360739979
12,"(24) Gujarat 24",1020,12.7450980392157,7.05882352941176,48.6274509803922
12,"(29) Karnataka 29",1256,16.5605095541401,21.1783439490446,47.4522292993631
12,"(32) Kerala 32",478,8.36820083682008,0,42.8870292887029
12,"(33) Tamil Nadu 33",943,29.3743372216331,1.16648992576882,45.3870625662778
13,"(01) Jammu & Kashmir 01",1213,23.4954657873042,1.15416323165705,43.363561417972
13,"(05) Uttarakhand 05",714,31.3725490196078,0,35.4341736694678
13,"(06) Haryana 06",489,32.1063394683027,0,43.1492842535787
13,"(08) Rajasthan 08",887,23.337091319053,1.46561443066516,47.9143179255919
13,"(19) West Bengal 19",179,0,0,40.7821229050279
13,"(20) Jharkhand 20",678,21.6814159292035,2.50737463126844,29.9410029498525
13,"(21) Orissa 21",224,7.14285714285714,2.67857142857143,37.0535714285714
13,"(22) Chhattisgarh 22",296,18.2432432432432,11.4864864864865,59.4594594594595
13,"(23) Madhya Pradesh 23",657,9.1324200913242,10.5022831050228,59.3607305936073
13,"(24) Gujarat 24",156,0,0,33.974358974359
13,"(27) Maharashtra 27",653,13.323124042879,24.0428790199081,60.7963246554365
13,"(28) Andhra Pradesh 28",461,14.9674620390456,1.08459869848156,45.5531453362256
13,"(29) Karnataka 29",590,25.0847457627119,17.2881355932203,54.7457627118644
13,"(32) Kerala 32",170,6.47058823529412,1.76470588235294,38.2352941176471
13,"(33) Tamil Nadu 33",165,52.7272727272727,0,42.4242424242424
14,"(08) Rajasthan 08",517,17.7949709864603,0,31.5280464216634
14,"(09) Uttar Pradesh 09",720,27.2222222222222,0,41.25
14,"(10) Bihar 10",854,19.0866510538642,3.74707259953162,36.6510538641686
14,"(18) Assam 18",188,4.78723404255319,3.19148936170213,21.8085106382979
14,"(20) Jharkhand 20",1100,12.0909090909091,35.0909090909091,49.7272727272727
14,"(21) Orissa 21",152,29.6052631578947,0,42.1052631578947
14,"(22) Chhattisgarh 22",197,0,62.4365482233503,71.0659898477157
14,"(24) Gujarat 24",209,0,0,35.4066985645933
14,"(27) Maharashtra 27",480,14.5833333333333,17.9166666666667,54.375
14,"(28) Andhra Pradesh 28",160,10,0,33.125
14,"(29) Karnataka 29",231,7.35930735930736,25.1082251082251,64.0692640692641
14,"(32) Kerala 32",537,14.5009416195857,0,28.6778398510242
14,"(33) Tamil Nadu 33",64,40.625,0,54.6875
15,"(08) Rajasthan 08",1441,22.0680083275503,2.15128383067314,45.8015267175573
15,"(09) Uttar Pradesh 09",489,35.9918200408998,0,34.1513292433538
15,"(21) Orissa 21",656,38.4146341463415,6.55487804878049,39.9390243902439
15,"(22) Chhattisgarh 22",363,1.37741046831956,61.4325068870523,72.4517906336088
15,"(23) Madhya Pradesh 23",118,32.2033898305085,38.9830508474576,57.6271186440678
15,"(24) Gujarat 24",508,5.51181102362205,0.590551181102362,40.9448818897638
15,"(27) Maharashtra 27",258,41.8604651162791,1.93798449612403,30.6201550387597
15,"(28) Andhra Pradesh 28",624,26.9230769230769,0.480769230769231,43.5897435897436
15,"(29) Karnataka 29",786,19.2061459667093,8.45070422535211,51.9083969465649
15,"(33) Tamil Nadu 33",945,22.6935312831389,0.106044538706257,47.5132275132275
16,"(03) Punjab 03",1017,20.353982300885,0,43.0678466076696
16,"(10) Bihar 10",770,17.1428571428571,1.81818181818182,34.9350649350649
16,"(19) West Bengal 19",579,22.1070811744387,0,40.9326424870466
16,"(21) Orissa 21",273,8.42490842490843,1.46520146520147,32.967032967033
16,"(23) Madhya Pradesh 23",447,7.82997762863535,44.9664429530201,49.4407158836689
16,"(24) Gujarat 24",351,11.965811965812,3.13390313390313,43.019943019943
16,"(27) Maharashtra 27",254,22.8346456692913,6.69291338582677,56.2992125984252
16,"(28) Andhra Pradesh 28",625,27.36,3.36,44.96
16,"(29) Karnataka 29",645,16.8992248062016,1.08527131782946,48.6821705426357
16,"(33) Tamil Nadu 33",185,62.1621621621622,0,54.5945945945946
17,"(03) Punjab 03",189,8.99470899470899,0,37.037037037037
17,"(06) Haryana 06",711,36.1462728551336,0,42.6160337552743
17,"(10) Bihar 10",278,5.75539568345324,0,29.136690647482
17,"(18) Assam 18",884,31.5909090909091,6.59090909090909,38.8009049773756
17,"(19) West Bengal 19",819,12.5763125763126,0,30.2808302808303
17,"(20) Jharkhand 20",442,2.26244343891403,72.8506787330317,50
17,"(21) Orissa 21",375,18.4,5.33333333333333,34.1333333333333
17,"(23) Madhya Pradesh 23",368,5.16304347826087,32.8804347826087,58.695652173913
17,"(27) Maharashtra 27",486,16.0493827160494,0,46.5020576131687
17,"(28) Andhra Pradesh 28",122,5.73770491803279,0,37.7049180327869
17,"(29) Karnataka 29",761,25.2299605781866,5.91327201051248,54.4021024967148
17,"(33) Tamil Nadu 33",225,7.11111111111111,0,44
18,"(06) Haryana 06",1156,11.8512110726644,0.259515570934256,32.1799307958478
